symbol,total_trades,winning_trades,losing_trades,hit_rate,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,win_loss_ratio,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,avg_holding_days,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,trades,market_cap_cr,sector,industry,pe_ratio,pb_ratio,debt_to_equity,roe
HONASA.NS,2,1,1,50.0,47.53,-11.15,47.53,-11.15,4.26,4.26,18.19,26.75,-7.31,3.66,40.0,0.62,inf,11.15,29.1,-26.48,31.08,57.56,"[{'entry_time': datetime.date(2024, 11, 18), 'entry_price': 297.25, 'exit_time': datetime.date(2024, 11, 19), 'exit_price': 264.1000061035156, 'max_gain_pct': 0, 'max_loss_pct': -11.152226710339571, 'shares': 1, 'profit_pct': -11.152226710339571, 'holding_days': 1}, {'entry_time': datetime.date(2025, 3, 12), 'entry_price': 214.5, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(316.45001220703125), 'max_gain_pct': 53.4965034965035, 'max_loss_pct': -3.4592066055689106, 'shares': 1, 'profit_pct': np.float64(47.52914322006119), 'holding_days': 79}]",10156.9421312,Consumer Defensive,Household & Personal Products,140.54054,8.578734,11.561,0.0639
MUFTI.NS,1,1,0,100.0,34.18,0.0,34.18,0.0,inf,inf,34.18,41.92,-6.06,6.92,65.0,0.0,0.0,0.0,37.4,4.62,34.18,29.56,"[{'entry_time': datetime.date(2025, 3, 26), 'entry_price': 128.11000061035156, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(171.89999389648438), 'max_gain_pct': 41.917099908204285, 'max_loss_pct': -6.057296151166706, 'shares': 1, 'profit_pct': np.float64(34.18155731598247), 'holding_days': 65}]",1130.3288832,Consumer Cyclical,Apparel Retail,16.45152,2.7404876,57.779,0.18188
APOLLOPIPE.NS,3,1,2,33.33,12.34,-10.24,12.34,-10.51,1.2,0.6,-2.72,6.71,-9.98,0.67,29.0,-0.26,-10.34,19.44,-2.18,101.18,-9.5,-110.68,"[{'entry_time': datetime.date(2025, 2, 6), 'entry_price': 417.25, 'exit_time': datetime.date(2025, 2, 11), 'exit_price': 375.6000061035156, 'max_gain_pct': 0, 'max_loss_pct': -9.982023701973487, 'shares': 1, 'profit_pct': -9.982023701973487, 'holding_days': 5}, {'entry_time': datetime.date(2025, 4, 2), 'entry_price': 407.1499938964844, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(457.3999938964844), 'max_gain_pct': 20.127720357492276, 'max_loss_pct': -7.884073826531083, 'shares': 1, 'profit_pct': np.float64(12.341888923809192), 'holding_days': 58}]",2098.5458688,Industrials,Building Products & Equipment,58.900387,2.5297956,11.583,0.049879998
SIGMA.NS,5,3,2,60.0,27.69,-9.67,58.87,-10.52,2.86,4.29,12.75,61.81,-8.62,7.17,237.6,0.5,15.07,18.42,14.65,156.54,62.18,-94.36,"[{'entry_time': datetime.date(2022, 11, 14), 'entry_price': 223.45144653320312, 'exit_time': datetime.date(2025, 3, 24), 'exit_price': 266.95001220703125, 'max_gain_pct': 148.83515656870742, 'max_loss_pct': -20.982143405876243, 'shares': 1, 'profit_pct': 19.46667446046924, 'holding_days': 861}, {'entry_time': datetime.date(2025, 4, 7), 'entry_price': 234.33999633789062, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(372.29998779296875), 'max_gain_pct': 66.91559273240418, 'max_loss_pct': 0, 'shares': 1, 'profit_pct': np.float64(58.871722117873595), 'holding_days': 53}]",390.2317312,Technology,Information Technology Services,20.021528,7.735496,7.392,0.47932997
COSMOFIRST.NS,5,3,2,60.0,42.8,-19.91,97.13,-28.54,2.15,3.22,17.71,41.91,-10.53,3.98,154.0,0.41,2.05,36.61,11.87,341.68,66.24,-275.44,"[{'entry_time': datetime.date(2025, 4, 9), 'entry_price': 537.9000244140625, 'exit_time': datetime.date(2025, 4, 16), 'exit_price': 578.0499877929688, 'max_gain_pct': 7.780251661361219, 'max_loss_pct': 0, 'shares': 1, 'profit_pct': 7.464205531993018, 'holding_days': 7}, {'entry_time': datetime.date(2025, 4, 23), 'entry_price': 602.9500122070312, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(1188.5999755859375), 'max_gain_pct': 97.13076565587915, 'max_loss_pct': -5.622360681273601, 'shares': 1, 'profit_pct': np.float64(97.13076565587915), 'holding_days': 37}]",3051.6758528,Consumer Cyclical,Packaging & Containers,23.29064,2.086308,98.073,0.094790004
RPOWER.NS,1,1,0,100.0,357.48,0.0,357.48,0.0,inf,inf,357.48,357.48,-10.24,34.92,774.0,0.0,0.0,0.0,39.88,1774.19,357.48,-1416.71,"[{'entry_time': datetime.date(2023, 4, 17), 'entry_price': 12.699999809265137, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(58.099998474121094), 'max_gain_pct': 357.4803098165003, 'max_loss_pct': -10.236222128022893, 'shares': 1, 'profit_pct': np.float64(357.4803098165003), 'holding_days': 774}]",23972.1742336,Utilities,Utilities - Independent Power Producers,8.298572,1.4283257,92.752,0.21090001
HPL.NS,1,1,0,100.0,36.78,0.0,36.78,0.0,inf,inf,36.78,38.48,-6.65,5.79,64.0,0.0,0.0,0.0,7.16,1499.77,36.78,-1462.99,"[{'entry_time': datetime.date(2025, 3, 27), 'entry_price': 418.95001220703125, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(573.0499877929688), 'max_gain_pct': 38.4771470366664, 'max_loss_pct': -6.647572572393928, 'shares': 1, 'profit_pct': np.float64(36.78242537197645), 'holding_days': 64}]",3677.9884544,Industrials,Electrical Equipment & Parts,39.285713,4.0162053,69.699,0.107580006
LYPSAGEMS.NS,2,1,1,50.0,75.58,-35.48,75.58,-35.48,2.13,2.13,20.05,86.12,-27.69,3.11,525.5,0.36,inf,35.48,2.79,192.63,13.28,-179.35,"[{'entry_time': datetime.date(2022, 7, 7), 'entry_price': 6.199999809265137, 'exit_time': datetime.date(2023, 4, 5), 'exit_price': 4.0, 'max_gain_pct': 18.54838920557543, 'max_loss_pct': -42.741934491493915, 'shares': 1, 'profit_pct': -35.48386898298783, 'holding_days': 272}, {'entry_time': datetime.date(2023, 4, 12), 'entry_price': 4.75, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(8.34000015258789), 'max_gain_pct': 153.6842145417866, 'max_loss_pct': -12.63157693963302, 'shares': 1, 'profit_pct': np.float64(75.5789505807977), 'holding_days': 779}]",24.6191808,Consumer Cyclical,Luxury Goods,0,1.4916831,78.686,-0.62971
NAHARPOLY.NS,6,2,4,33.33,30.34,-18.22,59.46,-31.99,1.67,0.83,-2.03,29.33,-18.17,1.61,157.67,-0.07,-0.21,56.58,-7.55,296.07,-29.92,-325.99,"[{'entry_time': datetime.date(2024, 4, 12), 'entry_price': 203.07989501953125, 'exit_time': datetime.date(2025, 2, 21), 'exit_price': 205.57000732421875, 'max_gain_pct': 72.20993483829491, 'max_loss_pct': -14.888402202291914, 'shares': 1, 'profit_pct': 1.226173720666939, 'holding_days': 315}, {'entry_time': datetime.date(2025, 3, 20), 'entry_price': 198.2899932861328, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(316.19000244140625), 'max_gain_pct': 78.95002690622712, 'max_loss_pct': -2.965348642449446, 'shares': 1, 'profit_pct': np.float64(59.45837568572788), 'holding_days': 71}]",772.3090944,Consumer Cyclical,Packaging & Containers,16.30841,0.8986071,12.891,0.0
CENTUM.NS,2,2,0,100.0,96.4,0.0,136.22,0.0,inf,inf,96.4,217.86,-12.9,16.89,561.0,2.42,0.0,0.0,33.46,783.71,269.85,-513.86,"[{'entry_time': datetime.date(2022, 4, 11), 'entry_price': 491.9737548828125, 'exit_time': datetime.date(2025, 3, 4), 'exit_price': 1162.1500244140625, 'max_gain_pct': 369.50677241033986, 'max_loss_pct': -20.41450168463537, 'shares': 1, 'profit_pct': 136.22195551689236, 'holding_days': 1058}, {'entry_time': datetime.date(2025, 3, 27), 'entry_price': 1593.8499755859375, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(2495.5), 'max_gain_pct': 66.21388410147985, 'max_loss_pct': -5.3769145455719345, 'shares': 1, 'profit_pct': np.float64(56.57057051951169), 'holding_days': 64}]",3692.9777664,Technology,Electronic Components,0,7.883063,47.517,-0.0065200003
