symbol,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,trades_detail,market_cap_cr,sector,industry,pe_ratio,pb_ratio,debt_to_equity,roe
MUFTI.NS,33.34265939,1,1,0,100,33.54046123,0,33.9131942,0,33.54046123,33.54046123,inf,65,65,65,1,0,"[{'entry_date': datetime.date(2025, 3, 26), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 128.11000061035156, 'exit_price': np.float64(171.89999389648438), 'shares': 772, 'initial_investment': 98900.9204711914, 'final_value': np.float64(132441.38169750976), 'profit': np.float64(33540.46122631835), 'profit_pct': np.float64(33.9131942013505), 'reason': 'End of Data', 'holding_days': 65}]",1122.687488,Consumer Cyclical,Apparel Retail,16.340303,2.7219608,57.779,0.18188
HONASA.NS,29.7495427,2,1,1,50,41.33738177,11.21483857,47.23408493,11.32992226,41.33738177,11.21483857,3.685954239,40,79,1,1,1,"[{'entry_date': datetime.date(2024, 11, 18), 'exit_date': datetime.date(2024, 11, 19), 'entry_price': 297.25, 'exit_price': 264.1000061035156, 'shares': 333, 'initial_investment': 98984.25, 'final_value': 87769.41142840576, 'profit': -11214.838571594242, 'profit_pct': -11.329922256918897, 'reason': 'Signal', 'holding_days': 1}, {'entry_date': datetime.date(2025, 3, 12), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 214.5, 'exit_price': np.float64(316.45001220703125), 'shares': 408, 'initial_investment': 87516.0, 'final_value': np.float64(128853.38177050781), 'profit': np.float64(41337.38177050781), 'profit_pct': np.float64(47.23408493362106), 'reason': 'End of Data', 'holding_days': 79}]",10301.80864,Consumer Defensive,Household & Personal Products,142.54504,8.701092,11.561,0.0639
SIGMA.NS,58.46370653,5,3,2,60,77.88325291,18.51585966,27.43720683,9.855112077,58.17932599,9.603483636,4.20629959,237.6,861,23,3,2,"[{'entry_date': datetime.date(2021, 12, 31), 'exit_date': datetime.date(2022, 2, 22), 'entry_price': 212.7039794921875, 'exit_price': 193.92543029785156, 'shares': 465, 'initial_investment': 98907.35046386719, 'final_value': 89994.97443832397, 'profit': -8912.376025543213, 'profit_pct': -9.010832848868073, 'reason': 'Signal', 'holding_days': 53}, {'entry_date': datetime.date(2022, 3, 7), 'exit_date': datetime.date(2022, 9, 21), 'entry_price': 230.1468963623047, 'exit_price': 205.9344482421875, 'shares': 390, 'initial_investment': 89757.28958129883, 'final_value': 80153.80594482421, 'profit': -9603.483636474615, 'profit_pct': -10.699391304342068, 'reason': 'Signal', 'holding_days': 198}, {'entry_date': datetime.date(2022, 10, 4), 'exit_date': datetime.date(2022, 10, 27), 'entry_price': 223.53125, 'exit_price': 234.125244140625, 'shares': 359, 'initial_investment': 80247.71875, 'final_value': 83882.8607211914, 'profit': 3635.141971191406, 'profit_pct': 4.52990069725989, 'reason': 'Signal', 'holding_days': 23}, {'entry_date': datetime.date(2022, 11, 14), 'exit_date': datetime.date(2025, 3, 24), 'entry_price': 223.45144653320312, 'exit_price': 266.95001220703125, 'shares': 374, 'initial_investment': 83570.84100341797, 'final_value': 99639.62595629883, 'profit': 16068.784952880858, 'profit_pct': 19.227741111548298, 'reason': 'Signal', 'holding_days': 861}, {'entry_date': datetime.date(2025, 4, 7), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 234.33999633789062, 'exit_price': np.float64(372.29998779296875), 'shares': 424, 'initial_investment': 99360.15844726562, 'final_value': np.float64(157539.4844345703), 'profit': np.float64(58179.32598730468), 'profit_pct': np.float64(58.55397867363784), 'reason': 'End of Data', 'holding_days': 53}]",390.5464064,Technology,Information Technology Services,20.037674,7.741734,7.392,0.47932997
COSMOFIRST.NS,62.3723345,5,3,2,60,99.59639959,36.44289003,42.50944229,20.07505452,79.32509583,28.3814447,2.732944602,154,317,7,3,2,"[{'entry_date': datetime.date(2022, 12, 6), 'exit_date': datetime.date(2023, 3, 21), 'entry_price': 811.0789184570312, 'exit_price': 579.6033325195312, 'shares': 122, 'initial_investment': 98951.62805175781, 'final_value': 70570.18335424805, 'profit': -28381.444697509767, 'profit_pct': -28.682140209622947, 'reason': 'Signal', 'holding_days': 105}, {'entry_date': datetime.date(2023, 4, 25), 'exit_date': datetime.date(2024, 2, 23), 'entry_price': 616.6256103515625, 'exit_price': 547.0051879882812, 'shares': 114, 'initial_investment': 70295.31958007812, 'final_value': 62233.874247802734, 'profit': -8061.445332275391, 'profit_pct': -11.467968821298346, 'reason': 'Signal', 'holding_days': 304}, {'entry_date': datetime.date(2024, 4, 9), 'exit_date': datetime.date(2025, 2, 20), 'entry_price': 552.3865356445312, 'exit_price': 683.7999877929688, 'shares': 113, 'initial_investment': 62419.67852783203, 'final_value': 77114.85982336426, 'profit': 14695.181295532224, 'profit_pct': 23.542545623620693, 'reason': 'Signal', 'holding_days': 317}, {'entry_date': datetime.date(2025, 4, 9), 'exit_date': datetime.date(2025, 4, 16), 'entry_price': 537.9000244140625, 'exit_price': 578.0499877929688, 'shares': 143, 'initial_investment': 76919.70349121094, 'final_value': 82495.82595788574, 'profit': 5576.122466674802, 'profit_pct': 7.249277120929029, 'reason': 'Signal', 'holding_days': 7}, {'entry_date': datetime.date(2025, 4, 23), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 602.9500122070312, 'exit_price': np.float64(1188.5999755859375), 'shares': 136, 'initial_investment': 82001.20166015625, 'final_value': np.float64(161326.2974863281), 'profit': np.float64(79325.09582617186), 'profit_pct': np.float64(96.73650412456738), 'reason': 'End of Data', 'holding_days': 37}]",3068.715622,Consumer Cyclical,Packaging & Containers,23.420689,2.0979576,98.073,0.094790004
RPOWER.NS,352.7892176,1,1,0,100,352.9872106,0,356.5653492,0,352.9872106,352.9872106,inf,774,774,774,1,0,"[{'entry_date': datetime.date(2023, 4, 17), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 12.699999809265137, 'exit_price': np.float64(58.099998474121094), 'shares': 7795, 'initial_investment': 98996.49851322174, 'final_value': np.float64(451983.70912956237), 'profit': np.float64(352987.2106163406), 'profit_pct': np.float64(356.56534919686726), 'reason': 'End of Data', 'holding_days': 774}]",23976.30136,Utilities,Utilities - Independent Power Producers,8.3,1.4285715,92.752,0.21090001
APOLLOPIPE.NS,-10.47723124,3,1,2,33.33333333,9.571028802,19.51638455,12.11720515,10.42408745,9.571028802,10.56973263,0.490409931,29,58,5,1,2,"[{'entry_date': datetime.date(2024, 12, 23), 'exit_date': datetime.date(2025, 1, 16), 'entry_price': 480.1499938964844, 'exit_price': 429.70001220703125, 'shares': 206, 'initial_investment': 98910.89874267578, 'final_value': 88341.16610961914, 'profit': -10569.732633056643, 'profit_pct': -10.68611524858813, 'reason': 'Signal', 'holding_days': 24}, {'entry_date': datetime.date(2025, 2, 6), 'exit_date': datetime.date(2025, 2, 11), 'entry_price': 417.25, 'exit_price': 375.6000061035156, 'shares': 211, 'initial_investment': 88039.75, 'final_value': 79093.09808526612, 'profit': -8946.651914733884, 'profit_pct': -10.162059654569537, 'reason': 'Signal', 'holding_days': 5}, {'entry_date': datetime.date(2025, 4, 2), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 407.1499938964844, 'exit_price': np.float64(457.3999938964844), 'shares': 194, 'initial_investment': 78987.09881591797, 'final_value': np.float64(88558.12761828613), 'profit': np.float64(9571.028802368164), 'profit_pct': np.float64(12.117205145961572), 'reason': 'End of Data', 'holding_days': 58}]",2108.225126,Industrials,Building Products & Equipment,59.172054,2.541464,11.583,0.049879998
HPL.NS,35.89937024,1,1,0,100,36.09711464,0,36.50886052,0,36.09711464,36.09711464,inf,64,64,64,1,0,"[{'entry_date': datetime.date(2025, 3, 27), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 418.95001220703125, 'exit_price': np.float64(573.0499877929688), 'shares': 236, 'initial_investment': 98872.20288085938, 'final_value': np.float64(134969.31752490235), 'profit': np.float64(36097.11464404297), 'profit_pct': np.float64(36.5088605212325), 'reason': 'End of Data', 'holding_days': 64}]",3684.739891,Industrials,Electrical Equipment & Parts,39.357826,4.023577,69.699,0.107580006
CENTUM.NS,263.5938145,2,2,0,100,264.2538044,0,96.00347049,0,134.2382459,130.0155585,inf,561,1058,64,2,0,"[{'entry_date': datetime.date(2022, 4, 11), 'exit_date': datetime.date(2025, 3, 4), 'entry_price': 491.9737548828125, 'exit_price': 1162.1500244140625, 'shares': 201, 'initial_investment': 98886.72473144531, 'final_value': 233124.97059741212, 'profit': 134238.2458659668, 'profit_pct': 135.7495116058586, 'reason': 'Signal', 'holding_days': 1058}, {'entry_date': datetime.date(2025, 3, 27), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 1593.8499755859375, 'exit_price': np.float64(2495.5), 'shares': 145, 'initial_investment': 231108.24645996094, 'final_value': np.float64(361123.805), 'profit': np.float64(130015.55854003906), 'profit_pct': np.float64(56.25742937847266), 'reason': 'End of Data', 'holding_days': 64}]",3670.181888,Technology,Electronic Components,0,7.834402,47.517,-0.00652
LYPSAGEMS.NS,12.48738494,2,1,1,50,48.06830269,35.25513295,75.22779268,35.61290125,48.06830269,35.25513295,1.363441254,525.5,779,272,1,1,"[{'entry_date': datetime.date(2022, 7, 7), 'exit_date': datetime.date(2023, 4, 5), 'entry_price': 6.199999809265137, 'exit_price': 4.0, 'shares': 15967, 'initial_investment': 98995.39695453644, 'final_value': 63740.264, 'profit': -35255.132954536435, 'profit_pct': -35.61290124502185, 'reason': 'Signal', 'holding_days': 272}, {'entry_date': datetime.date(2023, 4, 12), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 4.75, 'exit_price': np.float64(8.34000015258789), 'shares': 13452, 'initial_investment': 63897.0, 'final_value': np.float64(111965.30268850709), 'profit': np.float64(48068.30268850709), 'profit_pct': np.float64(75.22779267963611), 'reason': 'End of Data', 'holding_days': 779}]",24.6191808,Consumer Cyclical,Luxury Goods,0,0.77646405,28.726,0
VENUSPIPES.NS,110.6257374,4,3,1,75,126.2694308,14.26543627,35.53905616,6.694953207,79.8558715,14.26543627,8.851424406,193,299,80,2,1,"[{'entry_date': datetime.date(2022, 11, 30), 'exit_date': datetime.date(2023, 9, 25), 'entry_price': 693.9686889648438, 'exit_price': 1258.8516845703125, 'shares': 142, 'initial_investment': 98543.55383300781, 'final_value': 178399.42533056642, 'profit': 79855.8714975586, 'profit_pct': 81.03611894582428, 'reason': 'Signal', 'holding_days': 299}, {'entry_date': datetime.date(2023, 10, 9), 'exit_date': datetime.date(2024, 3, 13), 'entry_price': 1241.716796875, 'exit_price': 1507.4144287109375, 'shares': 143, 'initial_investment': 177565.501953125, 'final_value': 215129.14277905272, 'profit': 37563.64082592772, 'profit_pct': 21.154807894972773, 'reason': 'Signal', 'holding_days': 156}, {'entry_date': datetime.date(2024, 3, 22), 'exit_date': datetime.date(2024, 11, 14), 'entry_price': 1790.56689453125, 'exit_price': 1674.037353515625, 'shares': 119, 'initial_investment': 213077.46044921875, 'final_value': 198812.02417822267, 'profit': -14265.436270996084, 'profit_pct': -6.69495320665128, 'reason': 'Signal', 'holding_days': 237}, {'entry_date': datetime.date(2025, 3, 11), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 1360.1500244140625, 'exit_price': np.float64(1423.199951171875), 'shares': 147, 'initial_investment': 199942.0535888672, 'final_value': np.float64(208791.9720366211), 'profit': np.float64(8849.91844775391), 'profit_pct': np.float64(4.426241647968487), 'reason': 'End of Data', 'holding_days': 80}]",2908.465562,Basic Materials,Steel,31.155865,5.448698,36.04,0.19815001
